timestamp,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count
1701547200,Newcastle United,Manchester United,1,0
1701612000,AFC Bournemouth,Aston Villa,2,2
1701612000,Chelsea,Brighton & Hove Albion,3,2
1701612000,Liverpool,Fulham,4,3
1701612000,West Ham United,Crystal Palace,1,1
1701621000,Manchester City,Tottenham Hotspur,3,3
1701804600,Wolverhampton Wanderers,Burnley,1,0
1701807300,Luton Town,Arsenal,3,4
1701891000,Brighton & Hove Albion,Brentford,2,1
1701891000,Fulham,Nottingham Forest,5,0
1701891000,Sheffield United,Liverpool,0,2
1701891000,Crystal Palace,AFC Bournemouth,0,2
1701893700,Aston Villa,Manchester City,1,0
1701893700,Manchester United,Chelsea,2,1
1701977400,Everton,Newcastle United,3,0
1701980100,Tottenham Hotspur,West Ham United,1,2
1702125000,Crystal Palace,Liverpool,1,2
1702134000,Brighton & Hove Albion,Burnley,1,1
1702134000,Manchester United,AFC Bournemouth,0,3
1702134000,Sheffield United,Brentford,1,0
1702134000,Wolverhampton Wanderers,Nottingham Forest,1,1
1702143000,Aston Villa,Arsenal,1,0
1702216800,Everton,Chelsea,2,0
1702216800,Fulham,West Ham United,5,0
1702216800,Luton Town,Manchester City,1,2
1702225800,Tottenham Hotspur,Newcastle United,4,1
1702670400,Nottingham Forest,Tottenham Hotspur,0,2
1702738800,Chelsea,Sheffield United,2,0
1702738800,Manchester City,Crystal Palace,2,2
1702738800,Newcastle United,Fulham,3,0
1702747800,Burnley,Everton,0,2
1702821600,Arsenal,Brighton & Hove Albion,2,0
1702821600,Brentford,Aston Villa,1,2
1702821600,West Ham United,Wolverhampton Wanderers,3,0
1702830600,Liverpool,Manchester United,0,0
1703188800,Crystal Palace,Brighton & Hove Albion,1,1
1703275200,Aston Villa,Sheffield United,1,1
1703334600,West Ham United,Manchester United,2,0
1703343600,Fulham,Burnley,0,2
1703343600,Luton Town,Newcastle United,1,0
1703343600,Nottingham Forest,AFC Bournemouth,2,3
1703343600,Tottenham Hotspur,Everton,2,1
1703352600,Liverpool,Arsenal,1,1
1703422800,Wolverhampton Wanderers,Chelsea,2,1
1703593800,Newcastle United,Nottingham Forest,1,3
1703602800,AFC Bournemouth,Fulham,3,0
